TICKER,SHORT_NAME,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
PGR UN Equity,PROGRESSIVE CORP,Financials,Insurance,Insurance,Property & Casualty Insurance
PGRE UN Equity,PARAMOUNT GROUP,Real Estate,Real Estate,Equity Real Estate Investment,Office REITs
PGTI UN Equity,PGT INNOVATIONS,Industrials,Capital Goods,Building Products,Building Products
PH UN Equity,PARKER HANNIFIN,Industrials,Capital Goods,Machinery,Industrial Machinery
PHAS UQ Equity,PHASEBIO PHARMAC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PHAT UW Equity,PHATHOM PHARMACE,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
PHM UN Equity,PULTEGROUP INC,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
PHR UN Equity,PHREESIA INC,Health Care,Health Care Equipment & Servic,Health Care Technology,Health Care Technology
PHUN UR Equity,PHUNWARE INC,Information Technology,Software & Services,Software,Application Software
PHX UN Equity,PANHANDLE OIL-A,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
PI UW Equity,IMPINJ INC,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
PICO UW Equity,PICO HOLDINGS,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
PII UN Equity,POLARIS INC,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
PINC UW Equity,PREMIER INC-CL A,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
PING UN Equity,PING IDENTITY HO,Information Technology,Software & Services,Software,Systems Software
PIPR UN Equity,PIPER SANDLER CO,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
PIRS UR Equity,PIERIS PHARMACEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PJT UN Equity,PJT PARTNERS - A,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
PK UN Equity,PARK H&R INC,Real Estate,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs
PKBK UR Equity,PARKE BANCORP,Financials,Banks,Banks,Regional Banks
PKD UN Equity,PARKER DRILLING,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
PKE UN Equity,PARK AEROSPACE C,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
PKG UN Equity,PACKAGING CORP,Materials,Materials,Containers & Packaging,Paper Packaging
PKI UN Equity,PERKINELMER INC,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
PKOH UW Equity,PARK OHIO HLDGS,Industrials,Capital Goods,Machinery,Industrial Machinery
PLAB UW Equity,PHOTRONICS INC,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Equipment
PLAN UN Equity,ANAPLAN INC,Information Technology,Software & Services,Software,Application Software
PLAY UW Equity,DAVE & BUSTER'S,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
PLCE UW Equity,CHILDREN'S PLACE,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
PLD UN Equity,PROLOGIS INC,Real Estate,Real Estate,Equity Real Estate Investment,Industrial REITs
PLMR UW Equity,PALOMAR HOLDINGS,Financials,Insurance,Insurance,Property & Casualty Insurance
PLNT UN Equity,PLANET FITNESS-A,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities
PLOW UN Equity,DOUGLAS DYNAMICS,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
PLPC UW Equity,PREFORMED LINE,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
PLSE UR Equity,PULSE BIOSCIENCE,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
PLT UN Equity,PLANTRONICS INC,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
